Name,Down,Up
Classic0,2400000,2401000
Classic1,2401000,2402000
Classic2,2402000,2403000
Classic3,2403000,2404000
Classic4,2404000,2405000
Classic5,2405000,2406000
Classic6,2406000,2407000
Classic7,2407000,2408000
Classic8,2408000,2409000
Classic9,2409000,2410000
Classic10,2410000,2411000
Classic11,2411000,2412000
Classic12,2412000,2413000
Classic13,2413000,2414000
Classic14,2414000,2415000
Classic15,2415000,2416000
Classic16,2416000,2417000
Classic17,2417000,2418000
Classic18,2418000,2419000
Classic19,2419000,2420000
Classic20,2420000,2421000
Classic21,2421000,2422000
Classic22,2422000,2423000
Classic23,2423000,2424000
Classic24,2424000,2425000
Classic25,2425000,2426000
Classic26,2426000,2427000
Classic27,2427000,2428000
Classic28,2428000,2429000
Classic29,2429000,2430000
Classic30,2430000,2431000
Classic31,2431000,2432000
Classic32,2432000,2433000
Classic33,2433000,2434000
Classic34,2434000,2435000
Classic35,2435000,2436000
Classic36,2436000,2437000
Classic37,2437000,2438000
Classic38,2438000,2439000
Classic39,2439000,2440000
Classic40,2440000,2441000
Classic41,2441000,2442000
Classic42,2442000,2443000
Classic43,2443000,2444000
Classic44,2444000,2445000
Classic45,2445000,2446000
Classic46,2446000,2447000
Classic47,2447000,2448000
Classic48,2448000,2449000
Classic49,2449000,2450000
Classic50,2450000,2451000
Classic51,2451000,2452000
Classic52,2452000,2453000
Classic53,2453000,2454000
Classic54,2454000,2455000
Classic55,2455000,2456000
Classic56,2456000,2457000
Classic57,2457000,2458000
Classic58,2458000,2459000
Classic59,2459000,2460000
Classic60,2460000,2461000
Classic61,2461000,2462000
Classic62,2462000,2463000
Classic63,2463000,2464000
Classic64,2464000,2465000
Classic65,2465000,2466000
Classic66,2466000,2467000
Classic67,2467000,2468000
Classic68,2468000,2469000
Classic69,2469000,2470000
Classic70,2470000,2471000
Classic71,2471000,2472000
Classic72,2472000,2473000
Classic73,2473000,2474000
Classic74,2474000,2475000
Classic75,2475000,2476000
Classic76,2476000,2477000
Classic77,2477000,2478000
Classic78,2478000,2479000
Classic79,2479000,2480000
BLE0,2400000,2402000
BLE1,2402000,2404000
BLE2,2404000,2406000
BLE3,2406000,2408000
BLE4,2408000,2410000
BLE5,2410000,2412000
BLE6,2412000,2414000
BLE7,2414000,2416000
BLE8,2416000,2418000
BLE9,2418000,2420000
BLE10,2420000,2422000
BLE11,2422000,2424000
BLE12,2424000,2426000
BLE13,2426000,2428000
BLE14,2428000,2430000
BLE15,2430000,2432000
BLE16,2432000,2434000
BLE17,2434000,2436000
BLE18,2436000,2438000
BLE19,2438000,2440000
BLE20,2440000,2442000
BLE21,2442000,2444000
BLE22,2444000,2446000
BLE23,2446000,2448000
BLE24,2448000,2450000
BLE25,2450000,2452000
BLE26,2452000,2454000
BLE27,2454000,2456000
BLE28,2456000,2458000
BLE29,2458000,2460000
BLE30,2460000,2462000
BLE31,2462000,2464000
BLE32,2464000,2466000
BLE33,2466000,2468000
BLE34,2468000,2470000
BLE35,2470000,2472000
BLE36,2472000,2474000
BLE37,2474000,2476000
BLE38,2476000,2478000
BLE39,2478000,2480000
