Name,Down,Up
1,90000,96000
2,96000,102000
3,102000,108000
4,108000,114000
5,114000,120000
6,120000,126000
7,126000,132000
8,132000,138000
9,138000,144000
10,144000,150000
11,150000,156000
12,156000,162000
13,470000,476000
14,476000,482000
15,482000,488000
16,488000,494000
17,494000,500000
18,500000,506000
19,506000,512000
20,512000,518000
21,518000,524000
22,524000,530000
23,530000,536000
24,536000,542000
25,542000,548000
26,548000,554000
27,554000,560000
28,560000,566000
29,566000,572000
30,572000,578000
31,578000,584000
32,584000,590000
33,590000,596000
34,596000,602000
35,602000,608000
36,608000,614000
37,614000,620000
38,620000,626000
39,626000,632000
40,632000,638000
41,638000,644000
42,644000,650000
43,650000,656000
44,656000,662000
45,662000,668000
46,668000,674000
47,674000,680000
48,680000,686000
49,686000,692000
50,692000,698000
51,698000,704000
52,704000,710000
53,710000,716000
54,716000,722000
55,722000,728000
56,728000,734000
57,734000,740000
58,740000,746000
59,746000,752000
60,752000,758000
61,758000,764000
62,764000,770000
C13,108000,114000
C14,114000,120000
C15,120000,126000
C16,126000,132000
C17,132000,138000
C18,138000,144000
C19,144000,150000
C20,150000,156000
C21,156000,162000
C22,164000,170000
C23,222000,228000
C24,228000,234000
C25,234000,240000
C26,240000,246000
C27,246000,252000
C28,252000,258000
C29,258000,264000
C30,264000,270000
C31,270000,276000
C32,276000,282000
C33,282000,288000
C34,288000,294000
C35,294000,300000
C36,300000,306000
C37,306000,312000
C38,312000,318000
C39,318000,324000
C40,324000,330000
C41,330000,336000
C42,336000,342000
C43,342000,348000
C44,348000,354000
C45,354000,360000
C46,360000,366000
C47,366000,372000
C48,372000,378000
C49,378000,384000
C50,384000,390000
C51,390000,396000
C52,396000,402000
C53,402000,408000
C54,408000,414000
C55,414000,420000
C56,420000,426000
C57,426000,432000
C58,432000,438000
C59,438000,444000
C60,444000,450000
C61,450000,456000
C62,456000,462000
C63,462000,468000
