Purpose,down,up
公共・一般業務(固定・移動),335400,347700
デジタル簡易無線,351168.75,351381.25
各種用途,347700,380200
コードレス電話,380200,381325
各種用途(固定・移動)・特定省電力,381325,420000
電波天文,406100,410000
特定省電力,420000,430000
アマチュア,430000,440000
国際輸送用データ転送用アクティブタグシステム,433670,434170
デジタル簡易無線,467000,467400
デジタル簡易無線,468550,468850
TV放送,470000,710000
特定ラジオマイク,470000,714000
携帯電話,718000,748000
携帯電話,773000,803000
ITS,755000,765000
ラジオマイク(特定小電力),806000,810000
携帯電話,815000,845000
携帯電話,860000,890000
MCA,850000,860000
MCA,895000,900000
MCA,930000,945000
空間伝送型ワイヤレス電力伝送システム,918000,919200
RFID,915000,930000
携帯電話,900000,915000
携帯電話,945000,960000
航空無線航行,960000,1215000
準天頂衛星,1164000,1300000
地球探査衛星,1215000,1300000
特定省電力,1216000,1217000
特定省電力,1252000,1253000
GPS,1215000,1240000
移動,1240000,1300000
放送事業,1240000,1300000
各種レーダー,1215000,1400000
電波天文,1400000,1427000
宇宙運用,1427000,1427900
携帯電話,1427900,1462900
携帯電話,1475900,1510900
移動衛星,1525000,1559000
無線航行衛星,1559000,1610000
GPS等,1563400,1587400
移動衛星,1610000,1660500
電波天文,1610600,1613800
電波天文,1660000,1670000
気象援助,1670000,1690000
携帯電話,1710000,1785000
携帯電話,1805000,1890000
PHS,1884500,1915700
デジタルコードレス電話,1888500,1906100
デジタルコードレス電話,1911600,1916600
携帯電話,1920000,1980000
準天頂衛星,1980000,2010000
宇宙運用,2025000,2110000
ルーラル加入者系無線,2025500,2075500
携帯電話,2110000,2170000
準天頂衛星,2170000,2200000
宇宙運用,2200000,2300000
ルーラル加入者系無線,2205500,2255500
公共業務(固定・移動),2300000,2330000
公共業務(固定),2330000,2370000
公共業務(固定・移動),2370000,2400000
放送事業,2330000,2370000
携帯電話,2330000,2370000
産業科学医療用,2400000,2500000
無線LAN等,2400000,2497000
アマチュア,2400000,2450000
ロボット用無線,2483500,2494000
移動衛星,2500000,2535000
移動衛星,2535000,2690000
広帯域移動無線アクセスシステム,2545000,2645000
各種レーダー,2700000,3400000
超広帯域無線システム,3400000,4800000
携帯電話,3400000,4100000
移動,4100000,4200000
航空無線航行,4200000,4400000
移動,4400000,4500000
携帯電話,4500000,4600000
ローカル5G,4600000,4900000
電通事業(固定),4600000,4800000
無線アクセス,4900000,5000000
無線航行衛星,5000000,5030000
航空システム,5030000,5150000
無線LAN等,5150000,5350000
気象レーダー,5250000,5372500
各種レーダー,5350000,5850000
無線LAN等,5470000,5730000
空間伝送型ワイヤレス電力伝送システム,5650000,5755000
空間伝送型ワイヤレス電力伝送システム,5740000,5764000
DSRC,5770000,5850000
産業科学医療用,5730000,5875000
放送事業(固定・移動),5850000,5925000
電通事業(固定),5925000,6425000
電通業務(固定衛星),5850000,6485000
無線LAN等,5925000,6425000
放送事業(固定・移動),6425000,6570000
電通・公共・一般業務・放送事業(固定),6570000,6870000
放送事業(固定・移動),6870000,7125000
電通・公共・一般業務・放送事業(固定),7125000,7900000
電通・公共業務(固定衛星・移動衛星),7250000,7750000
電通・公共業務(固定衛星・移動衛星),7900000,8400000
超広帯域無線システム,7250000,10250000
各種レーダー,10000000,10250000
アマチュア,10000000,10250000
放送事業(固定・移動),10250000,10450000
アマチュア,10450000,10500000
各種レーダー,10500000,10550000
放送事業(固定・移動),10550000,10680000
電波天文,10600000,10700000
電通事業(固定・移動),10700000,11700000
電通・公共業務(固定衛星),10700000,11700000
BS放送,11700000,12200000
CS放送,12200000,12750000
電通・公共業務(固定衛星),12200000,12750000
電通・公共・一般業務(固定),12200000,12500000
電通業務(固定衛星),12750000,12950000
放送事業(固定・移動),12950000,13250000
各種レーダー,13250000,13900000
電通業務等(固定衛星),13750000,14500000
BS・CSフィーダリンク,14000000,14500000
電通事業(固定・移動),14400000,15250000
公共業務(移動),14700000,14900000
公共業務(移動),15250000,15350000
電波天文,15350000,15400000
各種レーダー,15400000,17300000
BSフィーダリンク,17300000,17800000
電通業務等(固定衛星),17800000,21200000
無線アクセスシステム・電通業務(固定)・公共・一般業務(固定),17700000,18720000
無線アクセスシステム・電通業務(固定)・公共・一般業務(固定),19220000,19700000
衛星放送,21400000,22000000
無線アクセスシステム,22000000,22400000
エントランス回線(固定),22400000,22600000
無線アクセスシステム,22600000,23000000
電波天文,22210000,22500000
エントランス回線(固定),23000000,23200000
CATV番組中継(固定・移動),23200000,23600000
衛星間通信,23000000,23550000
電波天文,23600000,24000000
アマチュア,24000000,24050000
各種レーダー,24050000,24750000
超広帯域無線システム,24250000,29000000
小電力データ通信システム,24750000,25250000
加入者系無線アクセスシステム,25250000,27000000
電通業務等(固定衛星),27000000,31000000
携帯電話,27000000,28200000
