Name,Down,Up
1,2402000,2422000
2,2407000,2427000
3,2412000,2432000
4,2417000,2437000
5,2422000,2442000
6,2427000,2447000
7,2432000,2452000
8,2437000,2457000
9,2442000,2462000
10,2447000,2467000
11,2452000,2472000
12,2457000,2477000
13,2462000,2482000
14,2474000,2494000
36,5170000,5190000
40,5190000,5210000
44,5210000,5230000
48,5230000,5250000
52,5250000,5270000
56,5270000,5290000
60,5290000,5310000
64,5310000,5330000
100,5490000,5510000
104,5510000,5530000
108,5530000,5550000
112,5550000,5570000
116,5570000,5590000
120,5590000,5610000
124,5610000,5630000
128,5630000,5650000
132,5650000,5670000
136,5670000,5690000
140,5690000,5710000
144,5710000,5730000
149,5735000,5755000
153,5755000,5775000
157,5775000,5795000
161,5795000,5815000
165,5815000,5835000
ax1,5945000,5965000
ax5,5965000,5985000
ax9,5985000,6005000
ax13,6005000,6025000
ax17,6025000,6045000
ax21,6045000,6065000
ax25,6065000,6085000
ax29,6085000,6105000
ax33,6105000,6125000
ax37,6125000,6145000
ax41,6145000,6165000
ax45,6165000,6185000
ax49,6185000,6205000
ax53,6205000,6225000
ax57,6225000,6245000
ax61,6245000,6265000
ax65,6265000,6285000
ax69,6285000,6305000
ax73,6305000,6325000
ax77,6325000,6345000
ax81,6345000,6365000
ax85,6365000,6385000
ax89,6385000,6405000
ax93,6405000,6425000
ax97,6425000,6445000
ax101,6445000,6465000
ax105,6465000,6485000
ax109,6485000,6505000
ax113,6505000,6525000
ax117,6525000,6545000
ax121,6545000,6565000
ax125,6565000,6585000
ax129,6585000,6605000
ax133,6605000,6625000
ax137,6625000,6645000
ax141,6645000,6665000
ax145,6665000,6685000
ax149,6685000,6705000
ax153,6705000,6725000
ax157,6725000,6745000
ax161,6745000,6765000
ax165,6765000,6785000
ax169,6785000,6805000
ax173,6805000,6825000
ax177,6825000,6845000
ax181,6845000,6865000
ax185,6865000,6885000
ax189,6885000,6905000
ax193,6905000,6925000
ax197,6925000,6945000
ax201,6945000,6965000
ax205,6965000,6985000
ax209,6985000,7005000
ax213,7005000,7025000
ax217,7025000,7045000
ax221,7045000,7065000
ax225,7065000,7085000
ax229,7085000,7105000
ax233,7105000,7125000
ax3,5945000,5985000
ax11,5985000,6025000
ax19,6025000,6065000
ax27,6065000,6105000
ax35,6105000,6145000
ax43,6145000,6185000
ax51,6185000,6225000
ax59,6225000,6265000
ax67,6265000,6305000
ax75,6305000,6345000
ax83,6345000,6385000
ax91,6385000,6425000
ax99,6425000,6465000
ax107,6465000,6505000
ax115,6505000,6545000
ax123,6545000,6585000
ax131,6585000,6625000
ax139,6625000,6665000
ax147,6665000,6705000
ax155,6705000,6745000
ax163,6745000,6785000
ax171,6785000,6825000
ax179,6825000,6865000
ax187,6865000,6905000
ax195,6905000,6945000
ax203,6945000,6985000
ax211,6985000,7025000
ax219,7025000,7065000
ax227,7065000,7105000
ax7,5945000,6025000
ax23,6025000,6105000
ax39,6105000,6185000
ax55,6185000,6265000
ax71,6265000,6345000
ax87,6345000,6425000
ax103,6425000,6505000
ax119,6505000,6585000
ax135,6585000,6665000
ax151,6665000,6745000
ax167,6745000,6825000
ax183,6825000,6905000
ax199,6905000,6985000
ax215,6985000,7065000
ax15,5945000,6105000
ax47,6105000,6265000
ax79,6265000,6425000
ax111,6425000,6585000
ax143,6585000,6745000
ax175,6745000,6905000
ax207,6905000,7065000
